Year,Order_Num,Yard_Num,Vessel_Type,Propulsion,Vessel_Name,Builder,SBS_link
1857,20198,,Passenger / Cargo,Sailing Vessel,ROBERT HENDERSON,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56759&vessel=ROBERT+HENDERSON
1860,27574,,Cargo,Sailing Vessel,RIFLEMAN,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56760&vessel=RIFLEMAN
1861,43554,,Cargo,Sailing Vessel,BEAUTIFUL STAR,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56762&vessel=BEAUTIFUL+STAR
1863,45214,,Cargo,Sailing Vessel,MARTHA BIRNIE,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56764&vessel=MARTHA+BIRNIE
1864,48852,,Cargo,Sailing Vessel,SATZUMA,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56765&vessel=SATZUMA
1865,48869,,Passenger / Cargo,Sailing Vessel,STRATHNAVER,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56767&vessel=STRATHNAVER
1867,56600,,Passenger / Cargo,Sailing Vessel,ALEXANDER DUTHIE,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56769&vessel=ALEXANDER+DUTHIE
1858,21467,,Cargo,Sailing Vessel,HUGUENOT,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=53021&vessel=HUGUENOT
1860,27579,,Cargo,Sailing Vessel,WATER LILY,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56761&vessel=WATER+LILY
1862,44431,,Cargo,Sailing Vessel,PRINCE ALFRED,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=53024&vessel=PRINCE+ALFRED
1864,50108,,Passenger / Cargo,Sailing Vessel,GLENMARK,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56215&vessel=GLENMARK
1865,,,Cargo,Sailing Vessel,SOVEREIGN,William Duthie Jnr. & Co.,view.php?a1Page=1&a1PageSize=210&builder=2040&ref=56766&vessel=SOVEREIGN
