Year,Order_Num,Yard_Num,Vessel_Type,Propulsion,Vessel_Name,Builder,SBS_link
,,8,Tug,Screw Steamer,CT 41,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55059&vessel=CT+41
,,10,Tug,Screw Steamer,CT 43,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55061&vessel=CT+43
,,4,Barge,No Propulsion,PD 149,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55056&vessel=PD+149
,,6,Barge,No Propulsion,PD 151,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55058&vessel=PD+151
1919,143055,1PD146,Barge,No Propulsion,CRETETREE,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55053&vessel=CRETETREE
,,9,Tug,Screw Steamer,CT 42,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55060&vessel=CT+42
,,3,Barge,No Propulsion,PD 148,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55055&vessel=PD+148
,,5,Barge,No Propulsion,PD 150,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55057&vessel=PD+150
1919,143923,7,Tug,Screw Steamer,CRETEHATCH,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55052&vessel=CRETEHATCH
1920,143304,2PD147,Barge,No Propulsion,CRETETORRENT,Aberdeen Concrete Shipbuilding Co. Ltd.,view.php?a1Page=1&a1PageSize=820&builder=2094&ref=55054&vessel=CRETETORRENT
