qid,absid
http://www.wikidata.org/entity/Q97987217,100686
http://www.wikidata.org/entity/Q97984607,152980
http://www.wikidata.org/entity/Q97987402,99109
http://www.wikidata.org/entity/Q97984569,99131
http://www.wikidata.org/entity/Q97987631,99139
http://www.wikidata.org/entity/Q97983685,99144
http://www.wikidata.org/entity/Q97984645,99216
http://www.wikidata.org/entity/Q97983505,99416
http://www.wikidata.org/entity/Q2261174,100020
http://www.wikidata.org/entity/Q97987521,100020
http://www.wikidata.org/entity/Q97985687,100235
http://www.wikidata.org/entity/Q97983509,100796
http://www.wikidata.org/entity/Q97987181,99207
http://www.wikidata.org/entity/Q97988011,99219
http://www.wikidata.org/entity/Q97984602,99241
http://www.wikidata.org/entity/Q97983667,99247
http://www.wikidata.org/entity/Q97984743,99249
http://www.wikidata.org/entity/Q97983812,99259
http://www.wikidata.org/entity/Q97987503,99307
http://www.wikidata.org/entity/Q97986645,99335
http://www.wikidata.org/entity/Q97987404,99342
http://www.wikidata.org/entity/Q97984383,99395
http://www.wikidata.org/entity/Q97987664,99417
http://www.wikidata.org/entity/Q97986026,99432
http://www.wikidata.org/entity/Q97985779,99514
http://www.wikidata.org/entity/Q97988610,101060
http://www.wikidata.org/entity/Q97987752,101474
http://www.wikidata.org/entity/Q6060032,110961
http://www.wikidata.org/entity/Q97983451,119611
http://www.wikidata.org/entity/Q97988405,99313
http://www.wikidata.org/entity/Q97988411,99423
http://www.wikidata.org/entity/Q97988426,99425
http://www.wikidata.org/entity/Q97986480,99427
http://www.wikidata.org/entity/Q97986726,100053
http://www.wikidata.org/entity/Q97983411,100054
http://www.wikidata.org/entity/Q97988132,100066
http://www.wikidata.org/entity/Q97988308,100112
http://www.wikidata.org/entity/Q97985103,100287
http://www.wikidata.org/entity/Q97984104,100324
http://www.wikidata.org/entity/Q97988150,100329
http://www.wikidata.org/entity/Q97984293,100333
http://www.wikidata.org/entity/Q97986414,100360
http://www.wikidata.org/entity/Q97984970,100603
http://www.wikidata.org/entity/Q97985398,100776
http://www.wikidata.org/entity/Q97984077,101044
http://www.wikidata.org/entity/Q97986110,101102
http://www.wikidata.org/entity/Q97987815,101230
http://www.wikidata.org/entity/Q97985939,101403
http://www.wikidata.org/entity/Q97985112,101512
http://www.wikidata.org/entity/Q97984796,110887
http://www.wikidata.org/entity/Q97984693,113427
http://www.wikidata.org/entity/Q97987444,135827
http://www.wikidata.org/entity/Q97987267,182703
http://www.wikidata.org/entity/Q97986714,99238
http://www.wikidata.org/entity/Q97984124,99690
http://www.wikidata.org/entity/Q97987445,99848
http://www.wikidata.org/entity/Q97986087,99915
http://www.wikidata.org/entity/Q97986802,99929
http://www.wikidata.org/entity/Q97985811,99954
http://www.wikidata.org/entity/Q97987228,100006
http://www.wikidata.org/entity/Q97985283,100018
http://www.wikidata.org/entity/Q97987432,100027
http://www.wikidata.org/entity/Q97983235,100028
http://www.wikidata.org/entity/Q97987325,100032
http://www.wikidata.org/entity/Q97988500,100033
http://www.wikidata.org/entity/Q97983965,100056
http://www.wikidata.org/entity/Q97984828,100059
http://www.wikidata.org/entity/Q97988618,100075
http://www.wikidata.org/entity/Q97986585,100077
http://www.wikidata.org/entity/Q97986429,100134
http://www.wikidata.org/entity/Q97987016,100142
http://www.wikidata.org/entity/Q97983276,100144
http://www.wikidata.org/entity/Q97984370,100145
http://www.wikidata.org/entity/Q97988080,100170
http://www.wikidata.org/entity/Q97983418,100297
http://www.wikidata.org/entity/Q97986762,100389
http://www.wikidata.org/entity/Q97984909,100635
http://www.wikidata.org/entity/Q97987251,100687
http://www.wikidata.org/entity/Q97988242,100819
http://www.wikidata.org/entity/Q97986807,100951
http://www.wikidata.org/entity/Q97985729,101015
http://www.wikidata.org/entity/Q97987959,101024
http://www.wikidata.org/entity/Q97987483,101076
http://www.wikidata.org/entity/Q97986845,101114
http://www.wikidata.org/entity/Q97985098,101187
http://www.wikidata.org/entity/Q97986013,101363
http://www.wikidata.org/entity/Q52296650,101564
http://www.wikidata.org/entity/Q97983227,101601
