qid, Len, Den, P31, P2561, P8260, P1071, P729
,"A. SPENCE MACDONALD","Steam Trawler built in Aberdeen in 1911",Q11446,"A. SPENCE MACDONALD",101205,Q36405,1911
,"ABBOTSFORD","Brig built in Aberdeen in 1829",Q11446,"ABBOTSFORD",100788,Q36405,1829
,"ABEL TASMAN","Vessel, Cargo built in Aberdeen in 1957",Q11446,"ABEL TASMAN",101577,Q36405,1957
,"ABERDEEN","Steamer built in Aberdeen in 1871",Q11446,"ABERDEEN",100851,Q36405,1871
,"ABERDEEN","Ship built in Aberdeen in 1801",Q11446,"ABERDEEN",182651,Q36405,1801
,"ABERDEEN & LEITH PACKET","Sloop built in Aberdeen in 1798",Q11446,"ABERDEEN & LEITH PACKET",152956,Q36405,1798
,"ABERDEEN CITY","Motor Trawler built in Aberdeen in 1957",Q11446,"ABERDEEN CITY",100669,Q36405,1957
,"ABERDEEN DISTRIBUTOR","Trawler built in Aberdeen in 1958",Q11446,"ABERDEEN DISTRIBUTOR",100675,Q36405,1958
,"ABERDEEN EXPLORER","Motor Trawler built in Aberdeen in 1965",Q11446,"ABERDEEN EXPLORER",101640,Q36405,1965
,"ABERDEEN MERCHANT","Motor Trawler built in Aberdeen in 1957",Q11446,"ABERDEEN MERCHANT",100670,Q36405,1957
,"ABERDEEN PONTOON DOCK NUMBER 1","Pontoon Dock built in Aberdeen in 1955",Q11446,"ABERDEEN PONTOON DOCK NUMBER 1",101797,Q36405,1955
,"ABERDEEN SMACK","Sloop built in Aberdeen in 1763",Q11446,"ABERDEEN SMACK",182653,Q36405,1763
,"ABERDEEN VENTURER","Motor Trawler built in Aberdeen in 1960",Q11446,"ABERDEEN VENTURER",101601,Q36405,1960
,"ABERDEENSHIRE","Snow built in Aberdeen in 1825",Q11446,"ABERDEENSHIRE",100825,Q36405,1825
,"ABERDON","Collier built in Aberdeen in 1911",Q11446,"ABERDON",101220,Q36405,1911
,"ABERDONIAN","Schooner built in Aberdeen in 1840",Q11446,"ABERDONIAN",100028,Q36405,1840
,"ABERDONIAN COAST","Coaster built in Aberdeen in 1947",Q11446,"ABERDONIAN COAST",101524,Q36405,1947
,"ABERDOUR","Steam Herring Drifter built in Aberdeen in 1908",Q11446,"ABERDOUR",100358,Q36405,1908
