builder, ships built
"Burns", 2
"DUTHIE MONTROSE", 14
"Alexander Anderson (Shipbuilder)", 3
"Alexander Hall", 1
"Wood Group", 1
"John Ronald & Co.", 1
"Unknown", 2
"Blaikie Brothers", 1
"ANDREW RENNIE", 1
"Walter Hood and Co", 14
"JOHN MATTHEW", 1
"STEPHEN", 25
"BOWMAN VERNON", 3
"Alexander Duthie and Company", 1
"HOOD", 88
"A. HALL & Co.", 754
"DUTHIE (MONTROSE?)", 1
"JAMES GREIG", 1
"George Milne and Company", 3
"Thomas Wright", 2
"John Duffus", 1
"James Thornton, Aberdeen", 6
"NICOL REID", 45
"Alexander Leslie", 1
"GEORGE LEVIE", 12
"John Lewis & Sons", 346
"Brands & Scorgie", 2
"ABERDEEN CONCRETE SHIP", 1
"David Burns, Aberdeen", 8
"John Duthie Torry Shipbuilding Co.", 1
"R & P Mathieson", 5
"ROBERT & PETER MATHIESON", 3
"DUTHIE TORRY", 173
"John Duthie and Sons and Company", 1
"James Alexander, shipbuilder", 2
"Aberdeen White Star Line (George Thompson & Co)", 1
"Alex Hall & Co", 1
"John Smith, Shipbuilder", 8
"Alexander Hall and Company", 1
"Alexander Scorgie", 1
"DUTHIE", 327
"Leckie", 1
"ADAMSON", 23
"Hall, Russell & Company, Limited", 800
"William Duthie Jnr. & Co.", 1
"John Vernon", 1
"Alex Anderson (Shipbuilder)", 1
"Ogilvie & Co.", 1
"John Reid & Co.", 1
"DUFFUS", 23
"D. Burns & Co.", 1
"HUMPHREY", 20
"RENNIE", 24
"John Smith", 2
