type, ships built
TRAWLER,506
STEAM TRAWLER,413
BRIG,209
SHIP,205
SCHOONER,169
BRIGANTINE,124
BARQUE,96
DRIFTER,88
STEAM HERRING DRIFTER,85
CARGO,75
STEAMER,71
SLOOP,67
TUG,60
"STEAMER, CARGO",50
COASTER,47
SMACK,43
SNOW,33
COLLIER,29
CORVETTE,23
LINER,22
HERMAPHRODITE,21
SCREW STEAMER,20
"STEAMER, PASSENGER, CARGO",20
STEAM TUG,19
CLIPPER,18
BARGE,16
DREDGER,16
"VESSEL, CARGO",16
FREEZER STERN TRAWLER,12
STEAM DRIFTER,11
BOOM DEFENCE VESSEL,10
ANTI-SUBMARINE & MINESWEEPER TRAWLER,10
"VESSEL, OFFSHORE PATROL",9
FRIGATE,8
SCREW TUG,8
LUGGER,8
YACHT,7
Brig,7
SALVAGE VESSEL,6
MOTOR FISHING VESSEL,5
COASTAL TANKER,5
"STEAMER, PASSENGER, CARGO, LS",5
"VESSEL, GENERAL CARGO",5
PATROL CRAFT,5
LANDING CRAFT TANK,5
MOTOR TRAWLER,5
MOTOR CARGO SHIP,4
MINESWEEPER TRAWLER,4
LAUNCH,4
"VESSEL, TORPEDO RECOVERY",4
CARGO STEAMER,4
CHEMICAL TANKER,4
FLEET TENDER,4
"TUG, FIREFIGHTING",3
SEINER,3
SCREW CARGO STEAMER,3
STERN TRAWLER,3
STEAM SCHOONER,3
"SCREW STEAMER, CARGO",3
LIGHTER,3
STEAM WHALER,3
PASSENGER VESSEL,3
FERRY,3
GENERAL CARGO LINER,3
"FERRY, PASSENGER, VEHICLE",3
PADDLE STEAMER,3
GRAB HOPPER DREDGER,3
COLLIER-STEAMER,3
"VESSEL, PASSENGER, CARGO",3
"TRAWLER, MINE-SWEEPER",3
BULK SUGAR CARRIER,3
"VESSEL, MOORING, SALVAGE",2
MOTOR PAIR FISHING VESSEL,2
SHIP (BARQUE 1878),2
PONTOON DOCK,2
SCREW STEAM TRAWLER,2
Trawler,2
RESEARCH TRAWLER,2
PATROL GUNBOAT,2
STEAM PACKET,2
SCREW TUG - STEAM,2
STEAMSHIP,2
SAIL,2
"VESSEL, FISHERY PROTECTION",2
SS TUG,2
"STEAMER, SCREW CARGO",2
FISHING VESSEL,2
CARGO VESSEL,2
MINESWEEPER,2
PADDLE TUG,2
Barque,2
STEAM YACHT,2
SNOW BRIG,2
"VESSEL, OIL RIG SUPPLY",2
Screw Steamer,2
WHALER,2
BALTIC TIMBER CARRIER,2
BRIGANTINE (SNOW),1
BRIG (SNOW),1
FISHERIES RESEARCH,1
DOCK,1
"STEAMER, FISHERY RESEARCH",1
BARK,1
SHIP (BARQUE c.1877),1
"BRIG
Wood Sailing Ship",1
STEAM,1
Screw Cargo Steamer,1
SMACK (changed to SCHOONER),1
SEINE,1
"BRIG (SNOW)
BRIG",1
"VESSEL, FISHERY RESEARCH",1
SALVAGE TUG,1
PURSE SEINER,1
MV TUG,1
MOTOR COLLIER,1
TUG/SUPPLY VESSEL,1
HARBOUR SERVICE VESSEL,1
"STEAM SCHOONER, PASSENGER, CARGO",1
SMACK (later SLOOP),1
AUXILIARY SAILING YACHT,1
CARGO COASTER,1
PASSENGER CARGO,1
Smack,1
PILOT,1
COASTGUARD TENDER,1
"LIGHTER, BUNKERING",1
BITUMEN TANKER,1
SHIP (BARQUE c.1881),1
STEM HERRING DRIFTER,1
"VESSEL, CARGO (DIESEL)",1
MOTOR YACHT,1
"STEAMER, CARGO & PASSENGER",1
"MOTOR VESSEL, PASSENGER, CARGO",1
"VESSEL, OFFSHORE SUPPLY",1
COASTER - CRUISER STERN - CARGO,1
MOTOR CARGO LINER,1
TWIN SCREW TUG,1
"VESSEL, SUPPLY",1
S TUG,1
PADDLE STEAMER TUG,1
MOORING & SALVAGE VESSEL,1
MOTOR TUG (DIESEL),1
WOODEN SMACK,1
FISHERY BOARD CRUISER,1
SHIP (BARQUE 1856),1
MOTOR CARGO VESSEL,1
Sloop,1
TEA CLIPPER,1
COLLIER (STEAM),1
STEAMER; BARQUE,1
"CHEMICAL TANKER, TYPE II",1
RESEARCH VESSEL,1
TUG - TWINSCREW,1
PADDLE TUG STEAMER,1
STEAM PADDLE STEAMER,1
SCREW STEAMER / MINESWEEPER,1
STEAMER (PADDLE),1
SCHOONER-RIGGED PADDLE STEAMER,1
"
",1
KETCH,1
STEAM SALVAGE,1
Smack/ Brig,1
"MOTOR YACHT, TWIN SCREW",1
"Whaler, Screw Steamer",1
SCREW STEAM SHIP,1
Brigantine,1
SCREW TRAWLER,1
"STEAMER, WATER TANK",1
"FERRY, PASSENGER RO/RO",1
MOORING LIGHTER,1
SCHOONER (LATER HERMAPHRODITE),1
PADDLE TUG (STEAMER),1
COLLIER - STEAM SHIP,1
RIVER PADDLE STEAMER,1
STEAMER  KETCH,1
SAILING BARGE,1
GALIOT,1
"SCREW STEAMER, CARGO (COLLIER)",1
GRAB DREDGER,1
SHIP (BARQUE 1858),1
GRAB SUCTION DREDGER,1
Steam Trawler,1
OIL TANKER,1
TRANSPORT FERRY,1
PILOT CUTTER,1
PASSENGER CARGO VESSEL,1
DIESEL ELECTRIC TUG,1
SHIP/BRIG,1
"VESSEL, HEAVY LIFT",1
SHIP (BARQUE 1851),1
STEAMSHIP (CARGO),1
CLIPPER SHIP,1
MOTOR FISHING TRAWLER,1
MOLASSES CARRIER,1
"VESSEL, BULK CARGO",1
OIL SUPPLY,1
CARGO LINER,1
OFFSHORE SUPPLY,1
"SNOW, Brig",1
PINK,1
PASSENGER,1
MOTOR COASTER,1
Steamer,1
STEAM SCREW TRAWLER,1
Ship,1
SHIP (BARQUE 1875),1
BRIG / SNOW,1
