Name,Date,Type,Shipbuilder,Builder,Official Number,Construction,id,Dimensions,Owner,Shipowner,Associated,Description
,1940,,A. HALL & Co.,,,,100587,,,,,Yard Number: 669
,1940,,A. HALL & Co.,,,,100588,,,,,Yard Number: 670
,1943,,A. HALL & Co.,,,,100609,,,,,Yard Number: 691
,1945,,A. HALL & Co.,,,,100621,,,,,Yard Number: 703
,1945,,A. HALL & Co.,,,,100622,,,,,Yard Number: 704
,1946,,A. HALL & Co.,,,,100629,,,,,Yard Number: 711
,1946,,A. HALL & Co.,,,,100632,,,,,Yard Number: 714
,1946,,A. HALL & Co.,,,,100633,,,,,Yard Number: 715
,1961,,"Hall, Russell & Company, Limited",,,,101708,,,,,Yard Number: 895
,1991,,"Hall, Russell & Company, Limited",,,,101718,,,,,"Yard Number: 1,002"
,1962,,John Lewis & Sons,,,,101719,,,,,Yard Number: 324
,1962,,John Lewis & Sons,,,,101720,,,,,Yard Number: 325
,1962,,John Lewis & Sons,,,,101721,,,,,Yard Number: 330
,1962,,John Lewis & Sons,,,,101722,,,,,Yard Number: 331
,1962,,John Lewis & Sons,,,,101723,,,,,Yard Number: 333
,1962,,John Lewis & Sons,,,,101724,,,,,Yard Number: 334
,1962,,John Lewis & Sons,,,,101725,,,,,Yard Number: 338
,1963,,John Lewis & Sons,,,,101726,,,,,Yard Number: 341
A. SPENCE MACDONALD,1911,STEAM TRAWLER,"Hall, Russell & Company, Limited",,129354,STEEL,101205,"length 115.2' x breadth 22.1' x depth 11.9'
gross tonnage: 195 ton",,Richard Irvin & Sons Ltd,,"Yard Number: 485
Date of Launch: February 1911

Engine details: Steam by screw, triple expansion engine, 12” x 20” x 34” with 24” stroke.  451 i.h.p. by HR.
Boiler: Number 1SB, Diameter 12'9"", Length 10'9"", Heating area 1429 square feet with 3 plain welded 3'9"" diameter furnaces.
Propeller: 8'4"" in diameter, solid type, cast iron.

Costs and extras: £5,550 with £200 allowance for owners supplying trawl winch and acetylene gas installation.

31/01/1911: Launched, named by Mrs A. Spence Macdonald.
1914: Owners Richard Irvin & Sons Ltd., Aberdeen.
August 1914: Requisitioned and converted to minesweeper.
1919: Returned to owners R. Irvin & Sons.
Sept. 1919: Owned by the Gamecock Steam Trawling Co. Ltd, Scarborough SH146
1925-34: Owned by Thomas H Scales Ltd, Leith. Renamed MAY ISLAND LH194.
1930: Renamed MAY ISLAND, registered at Leith (LH. 194).
18 February 1936: Wrecked on south side of Lamba Ness, Shetland. All crew lost.

Crew list:

AUCHENLECK, D (41) Trimmer, 29 Admiralty Street, Leith
ALEXANDER, Graham (39), Second Engineer, 12 Winton Park. Cockenzie
BIRRELL. David (31) Second Fisherman, 42 West Forth Street, Cellardyke, Fife 
BLAIKIE, John (28) (Deck Hand, Edinburgh Road, Cockenzie
HERD, James Chief Engineer, 47 Albany Street, Leith.
HERD, Scott (26) Fireman, 5 Bowling Green Street, Leith
SEARLE, R.J. (42) Cook, 12 Perth Street, Leith
TARVITT, James (31) Skipper, 22 Fowler Street, Cellardyke, Fife
TARVITT, John (39) Mate, 8 Fowler Street, Cellardyke, Fife
YOUNG, David Young (Jun) (27) Deck Hand, Bracklinn, Station Road, St Monance, Fife

Aberdeen Press & Journal, 01/02/1911:
Launch of a Trawler - Messrs Irvin and Sons' new vessel: Messrs Hall, Russell and Company, Ltd., launched from their yard at Footdee yesterday a steam trawler, built to the order of Messrs Richard Irvin and Sons, Ltd., Aberdeen. The vessel, which will take the highest class in Lloyd's register, is of the following dimensions: Length (b.p.), 115ft; breadth, 22ft; and depth, 12ft 9in. The steel boiler and triple expansion engine will be supplied and fitted by the builders.
The launching of the vessel was witnessed by large crowds of spectators. Mrs A. Spence Macdonald performed the ceremony, and, as the vessel gracefully left the ways she was named ""A Spence Macdonald.""
A cake and wine banquet was afterwards held, among those present being Mr A. Hall Wilson, who presided; Mr James Y. Hunter, Mr J. H. Anderson, and Mr Francis Coutts, and Mr A. Spence Macdonald, one of the directors; Mrs Spence Macdonald, and Mr James Tulloch.
The Chairman wished success to the trawler which had just been launched, and prosperity to her owners, Messrs Irvin and Sons. He thought the manner in which the trawler went down the ways when Mrs Spence Macdonald broke the bottle was a happy augury for the success of the vessel. He hoped the vessel would be a successful as the other which the company had built. (Applause) In the absence of Mr Irvin, through indisposition, he coupled the toast with the named of Mr A. Spence Macdonald.
Mr A. Spence Macdonald thanked the company for the way in which the toast had been received. This was the sixth of the series of these ships which Hall, Russell had launched. The other five had done very well, and it was to be hoped that this addition would be equally successful. (Applause)
Mr James Tulloch proposed the health of Mrs Spence Macdonald, who so gracefully named the vessel. It pleased him very much that the launch had been so successful, and he was sure they would drink very cordially to the health of the lady. (Applause)
Mr A. Spence Macdonald replied on behalf of his wife.
My Tulloch also proposed prosperity to the firm which had launched the vessel, and in doing so he made special reference to the chairman and Mr Hunter. These two gentlemen were discharging their duties as builders in a most thorough manner, keeping up the name and reputation of the firm for the first class vessels they turned out. They were pleased to know that the company had received an order from the Government to build one of their ships, and he hoped that was just one of the orders that would come from the Government. (Applause)
Mr Hall Wilson, in replying, said he was sure it would always be their endeavour to turn out such work as would give every satisfaction to their customer, and which would be a credit, not only to themselves but to the port of Aberdeen. (Applause)
""Bon-Accord"" was given from the chair, and was heartily pledged."
ABBEYDALE,1907,SCREW STEAMER,DUTHIE TORRY,,123380,STEEL,99759,"length 115' x breadth 21' x depth 12'
tonnage 205 tons",Bookless Bros. S T Co Ltd,,,"Screw Steamer
Tonnage: 210
Depth: 12.2ft
Launched: 13/2/1907
Builder: Duthie, Torry
Yard No: 300
Scrapped: 1936


Renamed: DIRK JOB; PIETER CORNELIS

Sold to Prins & Stam, Ymuiden and renamed PIETER CORNELIS in 1915.  
Later renamed DIRK JOB. 
Renamed PIETER CORNELIS in 1920 and owned by Stoomvissch Maats ""Blauweter"", Ymuiden.  
"
ABBOTSFORD,1829,BRIG,STEPHEN,,,WOOD,100788,"length 65 3/6' x breadth 20 5/6' x depth 12 5/12'
Registered Tonnage: 121 ton",,,,"Date of Build/Launch: August 1829

1 deck, 2 masts, hermaphrodite rigged, standing bowsprit, square stern, carvel built, no galleries, man bust figurehead

Subscribing Owners in 1829:
Robert Spring, Baker/Shipowner, 44 shares; William Spark, Watchmaker, 8 shares; Thomas Nicolson, Shipmaster, 4 shares.

Other Shareholders:
John Paul, Grocer, 4 shares; John Williamson, Flesher, 4 shares.

(Source: Aberdeen Register of Shipping (Aberdeen City Archives))

1830/31: Master Nicholson; Owner R. Spring.
1832/33: Voyage Liverpool - Aberdeen.
1836: Owned by Robert Spring, baker, and John Paul, grocer.
1839/40/41: Master A. Baxter; Voyage Aberdeen - St. Petersburg.
No further mention of vessel after this date.

Aberdeen Journal, 12/12/1832:
Shipping for sale: to be sold by public roup 4 January within Lemon Tree Tavern, one sixteenth of brig ABBOTSFORD. [Repeated 30/01/1833, to be sold by public roup 1 February].

Newcastle Courant, 13/09/1844:
Ramsgate, 9 September. Last night was a most awful one with rain, thunder and lightning. The HENRIETTA GLOVER, from Newcastle for Exeter, came into collision with the brig ABBOTSFORD at nine o'clock last night [details given only of damage to HENRIETTA GLOVER]."
ABEL TASMAN,1957,"VESSEL, CARGO","Hall, Russell & Company, Limited",,196762,,101577,"length 290 9/12' x breadth 44 7/12' x depth 22 1/3'
Gross Tonnage: 2681 ton",,H. C. S. Coasters Pty. Ltd.,,"Yard Number: 860

Launched 10th September by Mrs Strangward, wife of the Director & General Manager of H. C. S. Coasters.  
Completed December 1957.
Named after the Dutch 17th century explorer Tasman.

Engine Details: Sulzer Brothers, Winterthur, Switzerland. 5 cylinder, 2 stroke, single acting, direct reversing, 560mm bore x 1000mm stroke. 2000 b.h.p. @ 155 r.p.m. 12.5 knots

01/09/71: Owners Abel Tasman Shipping Co. Pty. Ltd., Melbourne.
1973-74: Lloyds Registered to Abel Tasman Shipping Co. Pty. Ltd. Melbourne.
1977-78: Renamed GOLDEN GLOBE
1980-81: Owned by Guan Guan Shipping company, Singapore and registered from Panama.
1982: Sold to Safinatus Salem Shipping Ltd of Singapore and renamed SAM JU. 
1985: Sold to Azim Shipping Ltd Singapore with Bayanihan Shipping Ltd of Singapore as Managers. She was renamed AZIM 1. 
1985: Renamed ALFALAH after being sold to Amora Holdings Inc of Panama who used Hind Shipping Agencies of Bombay as Managers. 
1985: Renamed ALSARAH. 
1985: Again name change to ALBA 111 all under Panamanian Registry. 
1985: She was arrested for alleged smuggling by the Bangladesh Navy in the outer anchorage of Chittagong. 
1989: Released and sold to Mariners Bangladesh Ltd for demolition at Begum Dockyards, Sadarghat and was beached with demolition commencing in 1990. 

"
